Bar Diameter,Maximum bar length,Reinforcement Volume,Rebar Number,Mark,Total Bar Length,Quantity,Workset,Host Category,Host Mark,REBAR-PARTITION,WEIGHT IN KG,Style,Bend Diameter
16 mm,5284 mm,13810.47 cm³,2546,2618,68688 mm,13,STR-Model,Structural Foundation,,CT-STAIR FOUNDATION,108.550271,Standard,64 mm
16 mm,2852 mm,14333.89 cm³,2571,2650,71291 mm,25,STR-Model,Structural Foundation,,CT-STAIR FOUNDATION,112.664378,Standard,64 mm
16 mm,2852 mm,14333.89 cm³,2571,2650,71291 mm,25,STR-Model,Structural Foundation,,CT-STAIR FOUNDATION,112.664378,Standard,64 mm
16 mm,5284 mm,13810.47 cm³,2546,2618,68688 mm,13,STR-Model,Structural Foundation,,CT-STAIR FOUNDATION,108.550271,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,2184 mm,4390.52 cm³,2653,2682,21837 mm,10,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,34.509459,Standard,64 mm
16 mm,2184 mm,4390.52 cm³,2653,2682,21837 mm,10,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,34.509459,Standard,64 mm
16 mm,2151 mm,4324.96 cm³,2655,2684,21511 mm,10,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,33.994174,Standard,64 mm
16 mm,2222 mm,4467.77 cm³,2656,2685,22221 mm,10,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,35.116706,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,1500 mm,3920.87 cm³,2663,2693,19501 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,30.818071,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2950 mm,3558.39 cm³,2662,2691,17698 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,27.968949,Standard,64 mm
16 mm,2549 mm,4613.07 cm³,2700,2733,22944 mm,9,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,36.258698,Standard,64 mm
16 mm,2549 mm,4613.07 cm³,2700,2733,22944 mm,9,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TY,36.258698,Standard,64 mm
16 mm,4545 mm,7309.82 cm³,2701,2734,36356 mm,8,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,57.455202,Standard,64 mm
16 mm,4545 mm,7309.82 cm³,2701,2734,36356 mm,8,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TY,57.455202,Standard,64 mm
16 mm,7964 mm,19215.65 cm³,2702,2735,95571 mm,12,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,151.034973,Standard,64 mm
16 mm,7964 mm,19215.65 cm³,2702,2735,95571 mm,12,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,151.034973,Standard,64 mm
16 mm,2886 mm,580.29 cm³,2711,2744,2886 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.561099,Standard,64 mm
16 mm,2904 mm,583.84 cm³,2703,2736,2904 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.588991,Standard,64 mm
16 mm,3283 mm,6600.94 cm³,2704,2737,32830 mm,10,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TY,51.883397,Standard,64 mm
16 mm,3283 mm,5940.85 cm³,2704,2737,29547 mm,9,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,46.695057,Standard,64 mm
16 mm,6216 mm,4998.96 cm³,2706,2739,24863 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,39.291827,Standard,64 mm
16 mm,6216 mm,4998.96 cm³,2706,2739,24863 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,39.291827,Standard,64 mm
16 mm,1751 mm,2112.79 cm³,2707,2740,10508 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,16.606536,Standard,64 mm
16 mm,1751 mm,2112.79 cm³,2707,2740,10508 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,16.606536,Standard,64 mm
16 mm,1445 mm,9586.89 cm³,2708,2741,47681 mm,33,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,75.352975,Standard,64 mm
16 mm,1492 mm,299.98 cm³,2721,2750,1492 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,2.35781,Standard,64 mm
16 mm,1492 mm,299.97 cm³,2721,2750,1492 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,2.357732,Standard,64 mm
16 mm,1445 mm,9586.89 cm³,2708,2741,47681 mm,33,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,75.352975,Standard,64 mm
16 mm,10337 mm,2045.23 cm³,3209,3196,10172 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.07554,Standard,64 mm
16 mm,10337 mm,2050.75 cm³,3210,3196,10200 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.118914,Standard,64 mm
16 mm,10337 mm,2056.27 cm³,3211,3196,10227 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.162289,Standard,64 mm
16 mm,10337 mm,2061.79 cm³,3212,3196,10254 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.205663,Standard,64 mm
16 mm,10337 mm,2067.31 cm³,3213,3196,10282 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.249038,Standard,64 mm
16 mm,10337 mm,2072.83 cm³,3214,3196,10309 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.292412,Standard,64 mm
16 mm,10337 mm,2078.34 cm³,3215,3196,10337 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,16.335787,Standard,64 mm
16 mm,11990 mm,14464.67 cm³,3080,3125,71941 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,113.692345,Standard,64 mm
16 mm,11671 mm,2346.66 cm³,2728,2760,11671 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,18.444721,Standard,64 mm
16 mm,10091 mm,2028.90 cm³,2729,2761,10091 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,15.947187,Standard,64 mm
16 mm,8388 mm,1686.60 cm³,2730,2762,8388 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,13.25668,Standard,64 mm
16 mm,7213 mm,1450.16 cm³,2731,2763,7213 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,11.398292,Standard,64 mm
16 mm,7197 mm,1447.09 cm³,2732,2764,7197 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,11.374111,Standard,64 mm
16 mm,4765 mm,957.98 cm³,2733,2765,4765 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,7.529716,Standard,64 mm
16 mm,3736 mm,751.26 cm³,2734,2766,3736 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,5.904915,Standard,64 mm
16 mm,3767 mm,757.37 cm³,2735,2767,3767 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,5.952935,Standard,64 mm
16 mm,2784 mm,3358.13 cm³,2736,2768,16702 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,26.394924,Standard,64 mm
16 mm,1484 mm,10141.98 cm³,2737,2769,50442 mm,34,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,79.71599,Standard,64 mm
16 mm,2784 mm,3917.82 cm³,2736,2768,19486 mm,7,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,30.794078,Standard,64 mm
16 mm,1483 mm,10138.14 cm³,2738,2770,50423 mm,34,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,79.685792,Standard,64 mm
16 mm,997 mm,200.38 cm³,2739,2771,997 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,1.57501,Standard,64 mm
16 mm,2849 mm,572.76 cm³,2743,2775,2849 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.501889,Standard,64 mm
16 mm,2776 mm,558.09 cm³,2749,2781,2776 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.386586,Standard,64 mm
16 mm,2703 mm,543.42 cm³,2750,2782,2703 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.271283,Standard,64 mm
16 mm,2922 mm,587.43 cm³,2748,2780,2922 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.617192,Standard,64 mm
16 mm,2995 mm,602.10 cm³,2747,2779,2995 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.732495,Standard,64 mm
16 mm,3068 mm,616.77 cm³,2746,2778,3068 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.847798,Standard,64 mm
16 mm,3140 mm,631.26 cm³,2745,2777,3140 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.961728,Standard,64 mm
16 mm,3213 mm,646.11 cm³,2744,2776,3213 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,5.078404,Standard,64 mm
16 mm,3513 mm,706.41 cm³,3074,3119,3513 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,5.552349,Standard,64 mm
16 mm,3068 mm,616.88 cm³,3075,3120,3068 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.848711,Standard,64 mm
16 mm,2452 mm,493.00 cm³,3076,3121,2452 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,3.874994,Standard,64 mm
16 mm,1958 mm,393.68 cm³,3077,3122,1958 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,3.094312,Standard,64 mm
16 mm,1444 mm,290.32 cm³,3078,3123,1444 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,2.281882,Standard,64 mm
16 mm,2630 mm,528.75 cm³,2758,2790,2630 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.15598,Standard,64 mm
16 mm,2557 mm,514.08 cm³,2757,2789,2557 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,4.040677,Standard,64 mm
16 mm,2509 mm,504.54 cm³,2756,2788,2509 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,3.965716,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2795,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2795,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2795,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2795,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,1200 mm,2895.35 cm³,2689,2722,14400 mm,12,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,22.757425,Standard,64 mm
16 mm,11990 mm,14464.63 cm³,3080,3125,71941 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,113.691969,Standard,64 mm
16 mm,11671 mm,2346.66 cm³,2783,2818,11671 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,18.444721,Standard,64 mm
16 mm,9508 mm,1911.65 cm³,2784,2819,9508 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,15.025579,Standard,64 mm
16 mm,8388 mm,1686.60 cm³,2785,2820,8388 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,13.25668,Standard,64 mm
16 mm,7189 mm,1445.48 cm³,2787,2822,7189 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,11.361469,Standard,64 mm
16 mm,2784 mm,3358.13 cm³,2736,2768,16702 mm,6,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,26.394924,Standard,64 mm
16 mm,1484 mm,10141.98 cm³,2737,2769,50442 mm,34,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,79.71599,Standard,64 mm
16 mm,2784 mm,3917.82 cm³,2736,2768,19486 mm,7,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,30.794078,Standard,64 mm
16 mm,1483 mm,10138.14 cm³,2738,2770,50423 mm,34,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,79.685792,Standard,64 mm
16 mm,2849 mm,572.76 cm³,2743,2775,2849 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.501889,Standard,64 mm
16 mm,2776 mm,558.09 cm³,2749,2781,2776 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.386586,Standard,64 mm
16 mm,2703 mm,543.42 cm³,2750,2782,2703 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.271283,Standard,64 mm
16 mm,2922 mm,587.43 cm³,2748,2780,2922 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.617192,Standard,64 mm
16 mm,2995 mm,602.10 cm³,2747,2779,2995 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.732495,Standard,64 mm
16 mm,3068 mm,616.77 cm³,2746,2778,3068 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.847798,Standard,64 mm
16 mm,3140 mm,631.26 cm³,2745,2777,3140 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.961728,Standard,64 mm
16 mm,3213 mm,646.11 cm³,2744,2776,3213 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,5.078404,Standard,64 mm
16 mm,3513 mm,706.41 cm³,3074,3119,3513 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,5.552349,Standard,64 mm
16 mm,3068 mm,616.88 cm³,3075,3120,3068 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.848711,Standard,64 mm
16 mm,2452 mm,493.00 cm³,3076,3121,2452 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,3.874994,Standard,64 mm
16 mm,1958 mm,393.68 cm³,3077,3122,1958 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,3.094312,Standard,64 mm
16 mm,1444 mm,290.32 cm³,3078,3123,1444 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,2.281882,Standard,64 mm
16 mm,2630 mm,528.75 cm³,2758,2790,2630 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.15598,Standard,64 mm
16 mm,2557 mm,514.08 cm³,2757,2789,2557 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,4.040677,Standard,64 mm
16 mm,2509 mm,504.54 cm³,2756,2788,2509 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,3.965716,Standard,64 mm
16 mm,7950 mm,11189.52 cm³,3103,3148,55652 mm,7,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,87.949599,Standard,64 mm
16 mm,4378 mm,805.59 cm³,3185,3186,4007 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.331949,Standard,64 mm
16 mm,4378 mm,811.82 cm³,3187,3186,4038 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.380891,Standard,64 mm
16 mm,4378 mm,818.05 cm³,3189,3186,4069 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.429834,Standard,64 mm
16 mm,4378 mm,824.27 cm³,3191,3186,4100 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.478776,Standard,64 mm
16 mm,4378 mm,830.50 cm³,3193,3186,4131 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.527719,Standard,64 mm
16 mm,4378 mm,836.73 cm³,3195,3186,4162 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.576661,Standard,64 mm
16 mm,4378 mm,842.95 cm³,3197,3186,4192 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.625603,Standard,64 mm
16 mm,4378 mm,849.18 cm³,3192,3186,4223 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.674546,Standard,64 mm
16 mm,4378 mm,855.41 cm³,3198,3186,4254 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.723488,Standard,64 mm
16 mm,4378 mm,861.63 cm³,3194,3186,4285 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.772431,Standard,64 mm
16 mm,4378 mm,867.86 cm³,3199,3186,4316 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.821373,Standard,64 mm
16 mm,4378 mm,874.09 cm³,3196,3186,4347 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.870316,Standard,64 mm
16 mm,4378 mm,880.31 cm³,3200,3186,4378 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,6.919258,Standard,64 mm
16 mm,4765 mm,957.98 cm³,2778,2813,4765 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,7.529716,Standard,64 mm
16 mm,3736 mm,751.26 cm³,2779,2814,3736 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,5.904915,Standard,64 mm
16 mm,3767 mm,757.37 cm³,2780,2815,3767 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,5.952935,Standard,64 mm
16 mm,996 mm,200.19 cm³,2781,2816,996 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,1.573526,Standard,64 mm
16 mm,7205 mm,1448.56 cm³,2786,2821,7205 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,11.385649,Standard,64 mm
16 mm,4617 mm,6497.91 cm³,3082,3127,32318 mm,7,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BX,51.073571,Standard,64 mm
16 mm,4617 mm,6497.91 cm³,3082,3127,32318 mm,7,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.TX,51.073571,Standard,64 mm
16 mm,1444 mm,3485.05 cm³,2808,2843,17333 mm,12,STR-OUTER STRUCTURES,Structural Foundation,,OS-CB.BY,27.392527,Standard,64 mm
16 mm,3000 mm,3015.93 cm³,3071,3116,15000 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,23.705202,Standard,64 mm
16 mm,3000 mm,3015.93 cm³,3071,3116,15000 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,23.705202,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,5020 mm,7065.21 cm³,1900,1745,35139 mm,7,STR-Model,Structural Column,,Corbel,55.532534,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,820 mm,164.87 cm³,328,339,820 mm,1,STR-Model,Structural Column,,Corbel,1.295884,Standard,64 mm
16 mm,620 mm,124.66 cm³,347,361,620 mm,1,STR-Model,Structural Column,C2 700x700x10500,Corbel,0.979815,Standard,64 mm
16 mm,620 mm,124.66 cm³,347,361,620 mm,1,STR-Model,Structural Column,C2 700x700x10500,Corbel,0.979815,Standard,64 mm
16 mm,2784 mm,4477.51 cm³,2736,2768,22269 mm,8,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,35.193232,Standard,64 mm
16 mm,2784 mm,4477.51 cm³,2736,2768,22269 mm,8,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,35.193232,Standard,64 mm
16 mm,1752 mm,4578.55 cm³,3008,3054,22772 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,35.987377,Standard,64 mm
16 mm,1752 mm,4578.53 cm³,3008,3054,22772 mm,13,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,35.987232,Standard,64 mm
16 mm,2784 mm,4477.51 cm³,2736,2768,22269 mm,8,STR-OUTER STRUCTURES,Structural Foundation,,OS-CABLEBUS FOUNDATION,35.193232,Standard,64 mm
